2theta,intensity,,,,
42.08,237.917,,,,
42.12,217.083,,,,
42.16,237.5,,,,
42.2,240.833,,,,
42.24,237.083,,,,
42.28,233.333,,,,
42.32,244.167,,,,
42.36,231.25,,,,
42.4,214.583,,,,
42.44,205,,,,
42.48,212.083,,,,
42.52,208.75,,,,
42.56,209.167,,,,
42.6,211.25,,,,
42.64,222.5,,,,
42.68,213.333,,,,
42.72,205.833,,,,
42.76,217.917,,,,
42.8,205.833,,,,
42.84,210.417,,,,
42.88,208.75,,,,
42.92,205.417,,,,
42.96,197.5,,,,
43,192.5,,,,
43.04,189.167,,,,
43.08,197.917,,,,
43.12,195.833,,,,
43.16,218.333,,,,
43.2,192.083,,,,
43.24,208.75,,,,
43.28,201.667,,,,
43.32,209.583,,,,
43.36,186.667,,,,
43.4,205.833,,,,
43.44,200,,,,
43.48,199.583,,,,
43.52,194.583,,,,
43.56,197.083,,,,
43.6,192.5,,,,
43.64,204.583,,,,
43.68,187.083,,,,
43.72,183.75,,,,
43.76,188.333,,,,
43.8,198.75,,,,
43.84,190,,,,
43.88,189.583,,,,
43.92,185.417,,,,
43.96,189.583,,,,
44,197.5,,,,
44.04,195.833,,,,
44.08,206.25,,,,
44.12,213.333,,,,
44.16,185.833,,,,
44.2,172.083,,,,
44.24,195,,,,
44.28,213.75,,,,
44.32,185,,,,
44.36,188.333,,,,
44.4,184.583,,,,
44.44,204.167,,,,
44.48,187.5,,,,
44.52,208.333,,,,
44.56,212.917,,,,
44.6,177.5,,,,
44.64,194.167,,,,
44.68,202.5,,,,
44.72,200.417,,,,
44.76,201.25,,,,
44.8,198.333,,,,
44.84,192.083,,,,
44.88,187.917,,,,
44.92,197.5,,,,
44.96,210.417,,,,
45,204.583,,,,
45.04,194.583,,,,
45.08,201.25,,,,
45.12,202.083,,,,
45.16,185.833,,,,
45.2,193.75,,,,
45.24,206.25,,,,
45.28,210.417,,,,
45.32,205.833,,,,
45.36,203.333,,,,
45.4,190,,,,
45.44,210,,,,
45.48,203.333,,,,
45.52,207.5,,,,
45.56,193.75,,,,
45.6,207.5,,,,
45.64,213.75,,,,
45.68,194.167,,,,
45.72,215,,,,
45.76,194.583,,,,
45.8,205,,,,
45.84,181.25,,,,
45.88,199.167,,,,
45.92,190.833,,,,
45.96,207.083,,,,
46,185.833,,,,
46.04,197.5,,,,
46.08,190.417,,,,
46.12,211.25,,,,
46.16,198.75,,,,
46.2,206.667,,,,
46.24,205.417,,,,
46.28,194.583,,,,
46.32,186.25,,,,
46.36,187.083,,,,
46.4,201.25,,,,
46.44,207.917,,,,
46.48,202.917,,,,
46.52,207.083,,,,
46.56,193.75,,,,
46.6,205,,,,
46.64,205.833,,,,
46.68,202.917,,,,
46.72,196.25,,,,
46.76,202.5,,,,
46.8,196.667,,,,
46.84,210,,,,
46.88,208.75,,,,
46.92,196.667,,,,
46.96,217.917,,,,
47,200.833,,,,
47.04,218.333,,,,
47.08,207.917,,,,
47.12,201.25,,,,
47.16,192.083,,,,
47.2,190.417,,,,
47.24,195.417,,,,
47.28,180,,,,
47.32,213.75,,,,
47.36,220,,,,
47.4,188.75,,,,
47.44,196.25,,,,
47.48,214.167,,,,
47.52,198.75,,,,
47.56,180.833,,,,
47.6,192.5,,,,
47.64,203.333,,,,
47.68,196.667,,,,
47.72,185.417,,,,
47.76,202.917,,,,
47.8,206.25,,,,
47.84,199.167,,,,
47.88,203.75,,,,
47.92,205,,,,
47.96,189.167,,,,
48,187.083,,,,
48.04,188.333,,,,
48.08,191.667,,,,
48.12,192.083,,,,
48.16,176.25,,,,
48.2,192.917,,,,
48.24,193.333,,,,
48.28,193.75,,,,
48.32,200.417,,,,
48.36,181.25,,,,
48.4,178.333,,,,
48.44,190,,,,
48.48,195.417,,,,
48.52,185.417,,,,
48.56,187.5,,,,
48.6,192.5,,,,
48.64,200,,,,
48.68,202.5,,,,
48.72,193.333,,,,
48.76,195,,,,
48.8,186.667,,,,
48.84,208.333,,,,
48.88,209.583,,,,
48.92,207.5,,,,
48.96,215.417,,,,
49,195,,,,
49.04,201.667,,,,
49.08,196.667,,,,
49.12,192.917,,,,
49.16,211.25,,,,
49.2,215,,,,
49.24,212.083,,,,
49.28,219.583,,,,
49.32,213.333,,,,
49.36,213.75,,,,
49.4,218.75,,,,
49.44,210.417,,,,
49.48,206.667,,,,
49.52,202.083,,,,
49.56,231.25,,,,
49.6,220,,,,
49.64,242.917,,,,
49.68,229.583,,,,
49.72,225,,,,
49.76,214.583,,,,
49.8,230.833,,,,
49.84,257.5,,,,
49.88,234.167,,,,
49.92,243.333,,,,
49.96,232.083,,,,
50,220,,,,
